(81087,89158)   	(83131,53576)   	(1097,93494)   	(53882,15519)   	(47379,44360)   	
(84853,94580)   	(31082,57869)   	(56814,30668)   	(57029,92519)   	(5696,45895)   	
(37899,76295)   	(27251,83015)   	(66154,86801)   	(31225,22254)   	(81313,96596)   	
(74120,83774)   	(82802,92996)   	(65206,11498)   	(66351,90891)   	(39929,9822)   	
(82997,4297)   	(67323,51315)   	(55327,37967)   	(64438,22864)   	(6942,79864)   	
(84126,43771)   	(11788,78993)   	(66688,19320)   	(95896,63604)   	(74488,54518)   	
(99797,23831)   	(94012,19737)   	(49781,12840)   	(6584,12638)   	(73843,47427)   	
(37655,60023)   	(54312,83547)   	(57338,52844)   	(31096,66824)   	(27871,18847)   	
(24502,15696)   	(97619,70522)   	(42663,84809)   	(1564,79354)   	(21728,69258)   	
(50914,14094)   	(13845,7822)   	(37411,65612)   	(13483,62639)   	(28887,6006)   	
(18566,1278)   	(44170,80013)   	(59496,94597)   	(23858,27638)   	(32488,94025)   	
(3846,7492)   	(62142,67680)   	(51923,75200)   	(21082,80842)   	(44578,68612)   	
(9798,6199)   	(415,41869)   	(57972,20315)   	(2395,73865)   	(52136,90201)   	
(82082,28015)   	(17765,94156)   	(63139,3100)   	(84846,20492)   	(16524,12175)   	
(29761,32806)   	(14708,21844)   	(73452,39444)   	(66606,79891)   	(61065,30179)   	
(84106,91883)   	(92368,35608)   	(21564,95894)   	(43729,48655)   	(79002,39669)   	
(53902,66392)   	(16844,19165)   	(1068,49899)   	(35303,24609)   	(96422,67614)   	
(68591,83060)   	(6043,83991)   	(19321,33463)   	(54197,95286)   	(57050,21185)   	
(52976,30319)   	(16722,43065)   	(61042,64927)   	(68080,42275)   	(47801,38330)   	
(97017,37761)   	(70571,80221)   	(68802,37677)   	(79671,71343)   	(69761,76628)   	
